Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
18-06-2007,65.02057588,51.98073154,15.78130108,72.8261996,58.82749693,55.0855226,21.64912989,18.23197802,29.35093129,,62.20591509,196.8318442,28.22757,78.64305982,16.85988039,44.05689685,37.88522823,36.45346738,32.86778694,23.22421244,11.4656581,16.21049041,43.03658669,40.10454574,55.10285132,46.13391013,22.24038153,,37.24593865,35.36522852
19-06-2007,65.1689908,51.98896415,15.60089289,72.46730251,59.2874798,55.01946489,21.72073671,18.10164897,29.5378799,,61.83135423,198.9998823,28.4580902,79.51662272,16.81105161,44.12051182,38.20075065,36.50912153,32.66654235,23.18615244,11.65165703,16.17962504,43.07142285,40.02194885,54.74409886,46.02047324,22.51217937,,37.01841307,34.87792811
20-06-2007,64.6198556,51.0833765,15.33469619,71.83923262,58.48969701,53.48692607,21.64117358,18.13687304,29.05351305,,59.65602001,195.8952517,29.76685003,79.14330524,16.69944297,43.8519153,37.15652167,35.70909315,31.97841566,22.84361244,11.4656581,15.87097138,43.15502962,39.49633226,54.82806221,44.93845984,22.23515465,,36.85156097,34.87792811
21-06-2007,64.86474022,51.58556601,15.63117119,72.67665915,58.5543821,54.72881098,21.73664934,18.34821745,29.05351305,,60.72207784,196.7711391,29.70736095,79.59128621,16.94358688,43.90139361,37.44199434,35.52821716,32.0043827,23.00346444,11.45496851,16.00060591,43.11322623,39.83422864,54.91965858,45.17405953,22.18288583,,36.69987724,35.82856335
22-06-2007,64.13750712,50.8693285,15.51762757,71.71960026,58.14470986,53.87006077,21.41839679,18.18266433,29.01102473,,59.4399272,192.8686705,29.26862896,77.97855471,16.53203001,42.92596416,36.60060121,35.0760272,31.51750061,22.44778843,11.32027963,15.66725996,42.52101159,39.33113847,54.48457581,44.76394155,21.75950841,,36.27516281,35.92442572
25-06-2007,64.00393369,50.87756112,15.43436226,71.45790447,58.00096521,54.79486869,21.50583668,18.23550043,28.94304342,,59.3318808,187.9602322,29.13477852,78.47133378,16.37856813,43.19456067,36.33015342,35.68822284,31.38117363,22.44778843,11.50414064,15.6796061,42.55584774,39.4437706,54.40061247,44.93845984,21.69155895,,36.26757863,35.34925146
26-06-2007,63.87778101,50.49062821,15.094993,71.01676014,57.70628868,54.62972442,21.60139201,18.29890375,28.94304342,,58.93571066,185.7314891,29.11247011,78.64305982,16.30881273,43.57625046,36.51045195,36.00127743,31.887531,22.47062443,11.50627856,15.7968945,42.63248729,39.73661413,53.86630029,45.19151136,21.46680304,,36.38134142,34.93384783
27-06-2007,64.65695933,50.65528051,15.37759045,70.7700184,57.14568456,55.41581114,21.69686777,18.47150169,29.12149437,,60.13142418,190.2063197,29.56607437,78.71772331,16.59480987,43.43488387,36.99124802,35.71604991,32.67303411,22.73704443,12.46192823,15.80924064,42.79970083,39.74412294,54.57617218,45.1566077,21.38839981,,36.75296655,35.2054579
28-06-2007,64.44917845,50.40006944,15.20979821,71.15134655,56.8438208,55.60737849,22.15833397,18.53842742,28.76459248,,60.2178613,189.8854501,29.38760712,79.10597349,16.68549189,43.47022552,36.78089974,35.37516825,32.77041053,22.70659643,12.46192823,15.82158679,42.75093022,40.10454574,54.26321791,45.46201471,21.46680304,,36.56336189,34.7740772
29-06-2007,64.40465397,50.36713898,15.39651438,71.8990488,56.27602944,55.64701312,22.15833397,18.4257104,29.01102473,,60.41954791,187.9689044,29.26119282,78.58332902,16.55986242,43.55504547,36.39776537,35.31255734,32.32897076,22.43256443,12.46192823,15.78454835,42.63248729,40.17212502,54.14108941,44.62432692,21.51907186,,36.48752003,34.78206573
02-07-2007,65.30256423,50.8693285,15.29810992,72.35514718,57.8212844,56.24813826,22.19015923,18.51377057,29.33393596,,61.0966387,190.0762374,29.27606509,78.40413663,16.9296358,43.71761704,36.92363608,35.74387699,32.17966026,22.63808843,12.48544534,15.88331752,43.015685,40.90798824,55.30894316,45.56672569,21.73337401,,36.65437213,34.91787077
03-07-2007,65.25803975,51.51147248,16.043713,73.01312516,56.05322524,57.02761921,22.35724182,18.63353241,29.35093129,,61.48560575,194.7331833,29.14965079,79.57635351,17.15285308,43.78830034,37.35184508,35.75779053,32.34844605,22.85122444,12.60944462,15.93270211,43.05052115,41.30595509,55.31657619,45.49691837,22.01562562,,36.76055073,35.02971021
05-07-2007,65.12446633,50.65322302,16.74768342,73.54399376,55.69386362,57.18615771,22.57206229,18.55251705,29.42741027,,61.34154388,191.9320781,29.61812732,80.6739069,17.15982862,44.02155521,36.93547875,35.62561192,32.34195429,22.82838844,12.68854761,15.98825977,42.96691438,40.86293539,55.04942011,45.76742172,21.94244927,,36.47235166,35.07764139
06-07-2007,65.38419243,50.7605042,16.69091161,73.93279893,56.64257829,57.91939827,22.65162543,18.5278602,29.30844297,,62.27794603,193.9440174,29.96762569,81.40560915,17.21563294,43.91553027,37.07174409,35.77866083,32.10825088,22.81316444,12.75696101,16.00060591,42.83453699,40.93802348,55.4158056,46.26479885,21.92938207,,36.69987724,35.47706796
09-07-2007,65.38419243,51.52797728,16.44238987,74.69545523,57.37567599,59.12164855,22.63563324,18.56308427,29.28294998,,62.98384918,193.6491643,29.91557274,81.36081106,17.41087831,44.3325617,36.93547875,35.57691454,32.08228384,22.73704443,12.63082381,15.97591362,42.86240591,41.22335819,55.35474135,45.34857782,22.17744006,,36.78330329,35.70074684
10-07-2007,64.72374605,49.76196396,16.69721959,74.95715102,58.37470129,58.79136001,22.52432441,18.35173986,28.79858314,,62.3067584,188.2550854,29.93044501,81.10695517,17.4179236,43.96500857,35.96648074,35.02037306,31.58890999,22.32599643,12.49613493,15.79072142,42.52101159,39.90931672,55.01125495,44.98208941,21.38576562,,36.08555816,35.2054579
11-07-2007,65.21351528,49.74545916,16.70226597,74.85994973,59.05748837,59.9473699,22.88235853,18.34821745,28.87506211,,62.87580278,187.9428879,30.10147612,81.4578736,17.138902,44.43151831,36.43583915,35.28473026,31.74471226,22.44778843,12.49613493,15.71047147,42.89027484,39.96938719,55.72112684,44.85992661,21.53354485,,36.16140002,35.27735468
12-07-2007,66.73476819,52.26244076,16.91420144,75.35343322,60.43743698,61.63184145,23.71777148,18.53842742,29.10449904,,64.55412356,191.0388464,30.44353835,81.59226789,18.13640423,44.78493478,37.49568072,35.93170974,32.9586716,22.88928444,12.71206472,16.03764435,43.8447855,40.55507425,56.47679692,46.32588025,21.86604811,,37.03358144,36.02827663
